station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
66098,2010-02-20,    0.6,0, 27.6,25, 19.0,25, 19.9,25, 12.6,26,  4.5,25,  6.4,26,  4.5,25, 6.9,26, 27.1,42, 53.9,26, 90.6,26,  5.3,26,  6.2,26, 5.9,26, 7.7,26, 6.8,26,1021.8,25,""
66098,2010-02-21,    0.0,0, 29.1,25, 20.6,25, 21.5,25, 14.1,26,  7.9,25,  6.6,26,  7.9,25, 7.4,26, 27.6,42, 53.4,26, 88.6,26,  5.6,26,  6.6,26, 6.2,26, 8.2,26, 7.2,26,1017.8,25,""
66098,2010-02-22,    0.0,0, 35.5,25, 22.7,25, 21.1,25, 27.3,26,  8.4,25,  7.8,26,  8.4,25, 6.9,26, 24.3,42, 36.5,26, 76.5,26,  6.4,26,  8.2,26, 3.7,26,10.0,26, 6.8,26,1015.3,25,""
66098,2010-02-23,    0.0,0, 26.6,25, 24.1,25, 21.4,25, 12.2,26,  7.5,25,  4.7,26,  7.5,25, 4.7,26, 16.6,42, 61.5,26, 71.3,26,  4.1,26,  5.2,26, 2.9,26, 6.4,26, 4.6,26,1013.6,25,""
66098,2010-02-24,    0.0,0, 23.7,25, 20.4,25, 15.4,25, 12.5,26,  3.1,25,  3.9,26,  3.1,25, 3.0,26, 11.3,42, 52.6,26, 64.3,26,  3.5,26,  4.7,26, 0.5,26, 5.5,26, 3.0,26,1022.0,25,""
66098,2010-02-25,    0.0,0, 23.9,25, 17.1,25, 14.7,25, 12.1,26,  4.5,25,  5.4,26,  4.5,25, 5.0,26, 21.5,42, 49.6,26, 75.4,26,  4.4,26,  5.5,26, 3.1,26, 6.7,26, 4.9,26,1026.6,25,""
66098,2010-02-26,    0.0,0, 24.3,25, 17.0,25, 17.5,25,  9.7,26,  3.3,25,  4.4,26,  3.3,25, 3.9,26, 16.1,42, 57.6,26, 90.4,26,  3.5,26,  4.3,26, 2.8,26, 4.9,26, 3.8,26,1027.2,25,""
66098,2010-02-27,    0.6,0, 27.6,25, 18.8,25, 20.1,25, 12.3,26,  6.4,25,  6.2,26,  6.4,25, 6.5,26, 25.7,42, 54.4,26, 92.7,26,  5.0,26,  5.9,26, 5.6,26, 7.3,26, 6.4,26,1021.6,25,""
66098,2010-02-28,    0.0,0, 25.5,25, 20.7,25, 23.6,25,  6.8,26,  4.6,25,  3.6,26,  4.6,25, 4.0,26, 13.6,42, 72.3,26, 96.7,26,  2.9,26,  3.4,26, 3.7,26, 4.2,26, 4.0,26,1017.2,25,""
66098,2010-03-01,    3.6,0, 20.0,25, 19.1,25, 15.7,25,  7.3,26,  2.6,25,  2.1,26,  2.6,25, 1.2,26,  3.3,42, 67.2,26, 71.0,26,  2.0,26,  2.8,26, 0.4,26, 2.1,26, 1.2,26,1019.2,25,""
66098,2010-03-02,    3.8,0, 21.9,25, 17.2,25, 11.6,25, 12.8,26,  2.4,25,  4.2,26,  2.4,25, 3.2,26, 13.9,42, 44.2,26, 59.1,26,  3.7,26,  5.1,26, 0.4,26, 5.9,26, 3.1,26,1019.7,25,""
66098,2010-03-03,    0.0,0, 23.3,25, 17.7,25, 14.8,25, 11.5,26,  3.5,25,  4.6,26,  3.5,25, 4.3,26, 18.7,42, 51.8,26, 73.1,26,  4.0,26,  5.1,26, 2.4,26, 6.1,26, 4.2,26,1019.8,25,""
66098,2010-03-04,    0.0,0, 24.8,25, 17.2,25, 18.3,25,  9.6,26,  3.8,25,  4.4,26,  3.8,25, 4.5,26, 19.1,42, 58.5,26, 93.3,26,  3.8,26,  4.5,26, 3.6,26, 5.3,26, 4.5,26,1016.6,25,""
66098,2010-03-05,    0.0,0, 24.7,25, 19.9,25, 21.7,25,  7.2,26,  2.4,25,  2.9,26,  2.4,25, 2.9,26,  9.9,42, 69.8,26, 93.4,26,  2.5,26,  3.0,26, 2.3,26, 3.6,26, 2.9,26,1011.8,25,""
66098,2010-03-06,   15.8,0, 26.2,25, 20.7,25, 24.3,25,  7.0,26,  4.1,25,  4.4,26,  4.1,25, 5.6,26, 21.7,42, 71.5,26, 99.6,26,  4.0,26,  4.4,26, 5.6,26, 5.6,26, 5.6,26,1012.0,25,""
66098,2010-03-07,    0.0,0, 26.0,25, 21.9,25, 22.4,25,  9.2,26,  4.4,25,  4.3,26,  4.4,25, 4.9,26, 18.6,42, 66.7,26, 85.3,26,  3.9,26,  4.6,26, 4.0,26, 5.6,26, 4.8,26,1014.2,25,""
66098,2010-03-08,    0.4,0, 29.2,25, 21.7,25, 23.2,25, 13.1,26,  5.1,25,  4.7,26,  5.1,25, 4.8,26, 17.4,42, 57.3,26, 89.4,26,  4.1,26,  5.0,26, 3.5,26, 6.0,26, 4.8,26,1011.7,25,""
66098,2010-03-09,    0.0,0, 29.6,25, 18.3,25, 13.3,25, 21.9,26,  6.3,25,  6.8,26,  6.3,25, 6.0,26, 24.7,42, 32.1,26, 63.3,26,  5.7,26,  7.5,26, 2.4,26, 9.4,26, 5.9,26,1013.5,25,""
66098,2010-03-10,    0.4,0, 20.4,25, 18.7,25, 18.7,25,  4.6,26,  3.5,25,  1.9,26,  3.5,25, 1.3,26,  4.2,42, 78.1,26, 86.8,26,  1.6,26,  2.0,26, 0.7,26, 1.9,26, 1.3,26,1021.3,25,""
66098,2010-03-11,    0.6,0, 22.5,25, 18.4,25, 14.6,25, 11.0,26,  3.9,25,  4.7,26,  3.9,25, 4.5,26, 19.8,42, 53.6,26, 69.0,26,  4.0,26,  5.1,26, 2.5,26, 6.3,26, 4.4,26,1031.5,25,""
66098,2010-03-12,    0.4,0, 23.1,25, 17.5,25, 15.1,25, 10.8,26,  4.9,25,  4.4,26,  4.9,25, 4.1,26, 18.1,42, 53.4,26, 75.5,26,  3.8,26,  4.8,26, 2.3,26, 5.8,26, 4.1,26,1035.4,25,""
